character,ep_title,text
SPOCK,The Cage,Check the circuit.
SPOCK,The Cage,It can't be the screen then.
SPOCK,The Cage,"Definitely something out there, Captain, headed this way."
SPOCK,The Cage,Their call letters check with a survey expedition.
SPOCK,The Cage,SS Columbia.
SPOCK,The Cage,It disappeared in that region approximately eighteen years ago.
SPOCK,The Cage,Records show the Talos group has never been explored.
SPOCK,The Cage,"Solar system similar to Earth, eleven planets."
SPOCK,The Cage,"Number four seems to be Class M, oxygen atmosphere."
SPOCK,The Cage,"We aren't going to go, to be certain?"
SPOCK,The Cage,Mister Spock here.
SPOCK,The Cage,"We're intercepting a follow-up message, sir."
SPOCK,The Cage,There are crash survivors on Talos.
SPOCK,The Cage,"Preliminary lab survey ready, sir."
SPOCK,The Cage,"Yes, sir."
SPOCK,The Cage,Spock here.
SPOCK,The Cage,"There is no survivors' encampment, Number One."
SPOCK,The Cage,This is all some sort of trap.
SPOCK,The Cage,We've lost the Captain.
SPOCK,The Cage,Do you read?
SPOCK,The Cage,"The inhabitants of this planet must live deep underground, and probably manufacture food and other needs down there."
SPOCK,The Cage,"Our tests indicate the planet surface, without considerably more vegetation or some animals, simply too barren to support life."
SPOCK,The Cage,Exactly.
SPOCK,The Cage,An illusion placed in our minds by this planet's inhabitants.
SPOCK,The Cage,"They may simply be studying the Captain, to find out how Earth people are put together."
SPOCK,The Cage,Or it could be something more.
SPOCK,The Cage,Look.
SPOCK,The Cage,Brains three times the size of ours.
SPOCK,The Cage,"If we start buzzing about down there, we're liable to find their mental power is so great they could reach out and swat this ship as though it were a fly."
SPOCK,The Cage,"Standing by, Number One."
SPOCK,The Cage,"Ten, nine, eight, seven, six, five, four, three, two, one."
SPOCK,The Cage,Our circuits are beginning to heat.
SPOCK,The Cage,We'll have to cease power.
SPOCK,The Cage,We've located a magnetic field that seems to come from their underground generator.
SPOCK,The Cage,"If our measurements and readings are an illusion also, one could find oneself materialised inside solid rock."
SPOCK,The Cage,The women!
SPOCK,The Cage,Address intercraft.
SPOCK,The Cage,This is the acting captain speaking.
SPOCK,The Cage,We have no choice now but to consider the safety of this vessel and the remainder of the crew.
SPOCK,The Cage,We're leaving.
SPOCK,The Cage,All decks prepare for hyperdrive.
SPOCK,The Cage,Time warp factor.
SPOCK,The Cage,Engine room!
SPOCK,The Cage,Mister Spock here.
SPOCK,The Cage,Switch to rockets.
SPOCK,The Cage,We're blasting out.
SPOCK,The Cage,Nothing.
SPOCK,The Cage,But for the batteries we'd lose gravitation and oxygen.
SPOCK,The Cage,Could be we've waited too long.
SPOCK,The Cage,It's collecting all the information stored in this fly.
SPOCK,The Cage,They've decided to swat us.
SPOCK,The Cage,Mister Spock here.
TYLER,The Cage,"All operating, sir."
TYLER,The Cage,It could be these meteorites.
TYLER,The Cage,"It's coming at the speed of light, collision course."
TYLER,The Cage,"The meteorite beam has not deflected it, Captain."
TYLER,The Cage,I have a fix.
TYLER,The Cage,It comes from the Talos star group.
TYLER,The Cage,It would take that long for a radio beam to travel from there to here.
TYLER,The Cage,System open.
TYLER,The Cage,Course computed and on the screen.
TYLER,The Cage,"On course, sir."
TYLER,The Cage,"We've settled into orbit, sir."
TYLER,The Cage,Captain?
TYLER,The Cage,"Reflections, sir, from the planet's surface."
TYLER,The Cage,"As I read it, they polarise out as rounded metal bits."
TYLER,The Cage,Could be parts of a spaceship hull.
TYLER,The Cage,"Yes, sir."
TYLER,The Cage,And you won't believe how fast you can get back.
TYLER,The Cage,Well the time barrier's been broken.
TYLER,The Cage,Our new ships can
TYLER,The Cage,Captain!
TYLER,The Cage,Then why aren't we doing anything?
TYLER,The Cage,"That entry may have stood up against hand lasers, but we can transmit the ship's power against it."
TYLER,The Cage,Enough to blast half a continent.
TYLER,The Cage,It's Captain Pike they've got.
TYLER,The Cage,"He needs help, and he probably needs it fast."
TYLER,The Cage,"Mister Spock, the ship's controls have gone dead."
TYLER,The Cage,There's nothing.
TYLER,The Cage,Every system aboard is fading out.
TYLER,The Cage,The computers!
TYLER,The Cage,I can't shut it off.
TYLER,The Cage,It's running through our library.
TYLER,The Cage,"Tapes, micro-records, everything."
TYLER,The Cage,It doesn't make sense.
TYLER,The Cage,"All power has come on, Mister Spock."
TYLER,The Cage,The helm is answering to control.
TYLER,The Cage,"Eve, sir?"
TYLER,The Cage,"Yes, sir."
ONE,The Cage,"No, it's something else."
ONE,The Cage,There's still something out there.
ONE,The Cage,"Evasive manoeuvres, sir?"
ONE,The Cage,We've no ships or Earth colonies that far out.
ONE,The Cage,"Then they could still be alive, even after eighteen years."
ONE,The Cage,"Yes, sir."
ONE,The Cage,"All decks have acknowledged, sir."
ONE,The Cage,"She's replacing your former yeoman, sir."
ONE,The Cage,"Of course, sir."
ONE,The Cage,"Landing party, come in."
