text,character
"It's Doctor Bashir, isn't it?",GARAK
Of course it is.,GARAK
May I introduce myself?,GARAK
My name is Garak.,GARAK
"Cardassian by birth, obviously.",GARAK
"The only one of us left on this station, as a matter of fact, so I do appreciate making new friends whenever I can.",GARAK
"You are new to this station, I believe.",GARAK
"Ah, you know of me then.",GARAK
What a thoughtful young man.,GARAK
How nice that we've met.,GARAK
You don't say?,GARAK
"Doctor, you're not intimating that I'm considered some sort of spy, are you?",GARAK
Ah.,GARAK
An open mind.,GARAK
The essence of intellect.,GARAK
"As you may also know, I have a clothing shop nearby, so if you should require any apparel, or merely wish, as I do, for a bit of enjoyable company now and then, I'm at your disposal, Doctor.",GARAK
"Oh, it's just Garak.",GARAK
"Plain, simple Garak.",GARAK
"Now, good day to you, Doctor.",GARAK
I'm so glad to have made such an interesting new friend today.,GARAK
Plain and simple.,GARAK
"Join me, Doctor.",GARAK
Enhance my evening.,GARAK
"As a clothier, I do have a keen interest in what the population is wearing from day to day.",GARAK
"Klingons have an odd sense of style, don't you agree?",GARAK
But intriguing.,GARAK
I would say that those two outfits are worth studying closely.,GARAK
Look.,GARAK
"At your service, madam.",GARAK
May I show you our latest fashions?,GARAK
Perhaps some silk lingerie from Kraus Four?,GARAK
I meant no offence.,GARAK
I have few Klingon patrons.,GARAK
"So, is there something you wish to buy?",GARAK
I am only a simple clothing merchant.,GARAK
You are in a position to deliver the Bajoran to Cardassian authorities?,GARAK
"Ladies, ladies, please.",GARAK
Everything is negotiable.,GARAK
"I am no more than what I seem to be, a merchant trying to make the best transaction.",GARAK
"So, let us haggle.",GARAK
"Being observant, Doctor.",GARAK
"There's a time for levity, my young friend, and a time for genuine concern.",GARAK
"The arrival on this station, for instance, of those two Kohn-Ma terrorists.",GARAK
I'm not exactly sure.,GARAK
"But together, we might have some success at finding out.",GARAK
"And once you do have the appropriate answer, I'm sure you'll know what to do with it.",GARAK
"Doctor, I think it's time for you to take advantage of my shop.",GARAK
"If you'll be there at exactly twenty fifty five hours tonight, I promise to show you a suit that will make you into a new man.",GARAK
"Doctor, am I making myself clear?",GARAK
"I want you to buy a new suit tonight at twenty fifty five, exactly.",GARAK
"Quickly, Doctor, you're late.",GARAK
It's twenty fifty seven.,GARAK
"Now just take this and try that on as many times as you like, and stay very, very quiet.",GARAK
"OC]: Ah, right on time.",GARAK
Welcome.,GARAK
"OC]: I can now venture to say, with some certainty, that you will receive the agreed-upon payment on delivery.",GARAK
And what business might that be?,GARAK
"If it requires that those I represent must take extra precautions, it becomes my concern.",GARAK
"A rare crystalline element, that can be an incredibly powerful source of energy.",GARAK
"Provided, of course, one also has an anti-matter converter.",GARAK
"Unfortunately, that's why Cardassians were chasing Tahna Los when he arrived here.",GARAK
He stole one.,GARAK
"Quite right, Doctor.",GARAK
He has the ingredients for a bomb.,GARAK
A bomb of significant destructive capability.,GARAK
